Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Sep 1, 2022;12:00 AM;1:00 AM;4,153.75;1,426;1,965.75;10,732.75;0;114;3,986.75;11,941.75;9,614.75;2,773.75;14.25;1,280.75
Sep 1, 2022;1:00 AM;2:00 AM;4,132.5;1,420;1,722.75;9,561.5;0;114;3,989;11,951.75;9,447.75;2,393.25;41.5;1,277.5
Sep 1, 2022;2:00 AM;3:00 AM;4,121.75;1,419.25;1,770.5;8,505.25;0;114.25;3,996.25;11,976.75;9,417.5;2,497.5;51.25;1,272
Sep 1, 2022;3:00 AM;4:00 AM;4,129.75;1,445.25;1,567.75;7,452.25;0;115;3,997.5;11,974;9,418.5;2,516.5;193.75;1,276.25
Sep 1, 2022;4:00 AM;5:00 AM;4,145.25;1,430.75;1,376;6,720.75;0;115;3,998.75;11,998;9,565.25;2,584;215;1,271.25
Sep 1, 2022;5:00 AM;6:00 AM;4,205.75;1,390.75;1,163.5;6,198;0;115;4,001.25;12,016.75;9,764.5;3,234.25;195.25;1,260
Sep 1, 2022;6:00 AM;7:00 AM;4,420.75;1,510;1,088.25;6,161.75;120;115;4,001.75;12,090.75;10,085;4,254.5;1,242;1,272
Sep 1, 2022;7:00 AM;8:00 AM;4,584.25;1,591.75;1,066.75;5,972.5;2,591;113.75;4,005;11,826;10,078.25;4,707.25;2,438.25;1,284.75
Sep 1, 2022;8:00 AM;9:00 AM;4,619.25;1,529.25;1,211.75;3,888.25;8,710.25;113;4,001.25;12,352.5;9,707.25;4,738;3,196.75;1,245.25
Sep 1, 2022;9:00 AM;10:00 AM;4,534.25;1,485.25;1,142.25;2,367.25;16,589.25;113;3,997;12,402.5;9,433;4,730.5;1,612.75;1,251.25
Sep 1, 2022;10:00 AM;11:00 AM;4,405.25;1,412;948.75;2,842.25;22,916.75;112;4,000.25;12,461.5;9,154;4,547.75;1,224.75;1,246
Sep 1, 2022;11:00 AM;12:00 PM;4,304.5;1,380.75;876.75;4,030.25;26,254.75;112;3,995;12,477;8,954.75;4,202.75;194;1,269.5
Sep 1, 2022;12:00 PM;1:00 PM;4,173.25;1,368.5;707.75;4,919.25;26,573.25;111.25;3,977.75;12,427.25;8,561.5;3,504.5;196.25;1,255.75
Sep 1, 2022;1:00 PM;2:00 PM;4,185.25;1,378;635;5,140.5;25,824.5;111;3,977.75;12,489;8,512.75;3,412.75;473.75;1,247.25
Sep 1, 2022;2:00 PM;3:00 PM;4,199.75;1,307.5;530;5,220.25;24,699.5;111;3,979;12,496.75;8,524.5;3,417.5;48.75;1,251.75
Sep 1, 2022;3:00 PM;4:00 PM;4,234;1,323.25;471.75;5,195.5;22,168;111;3,981;12,548.5;8,719;3,695;107.75;1,263
Sep 1, 2022;4:00 PM;5:00 PM;4,352.25;1,341.5;549.75;5,422.5;18,455.25;111;3,981.25;12,536.5;9,053.5;4,158.25;340;1,264
Sep 1, 2022;5:00 PM;6:00 PM;4,525.25;1,408.5;780.75;5,849.25;12,571.5;111;3,982.75;12,551;9,642.75;4,635.25;974.75;1,245.25
Sep 1, 2022;6:00 PM;7:00 PM;4,663;1,450;1,055.25;5,907.75;5,849.5;111.75;3,980.25;12,724.5;9,934.75;4,866.25;2,499.5;1,241.25
Sep 1, 2022;7:00 PM;8:00 PM;4,704.75;1,525.25;1,202;5,635;1,082.5;112.75;3,983.5;12,725.25;9,945;4,955.25;5,556.5;1,245.25
Sep 1, 2022;8:00 PM;9:00 PM;4,660.75;1,361;1,459.25;7,632.75;6.5;113.5;3,988.5;12,845;9,975.5;4,951;5,548;1,247.25
Sep 1, 2022;9:00 PM;10:00 PM;4,563.75;1,298.25;1,724.75;11,072;0;114;3,984.75;12,707;10,040.5;4,757.25;1,603.75;1,223.5
Sep 1, 2022;10:00 PM;11:00 PM;4,425;1,276;1,937.5;12,418.25;0;114.25;3,989.75;12,635;9,942;3,457;791.75;1,216.75
Sep 1, 2022;11:00 PM;12:00 AM;4,318;1,227;2,196;12,602;0;114.75;3,997.5;12,688.75;9,535.5;2,427.25;844.75;1,227.25
Sep 2, 2022;12:00 AM;1:00 AM;4,223.25;1,215.5;2,427;12,188.75;0;115;3,996.75;12,815;9,322.5;2,121;89.75;1,231.75
Sep 2, 2022;1:00 AM;2:00 AM;4,180.5;1,213;2,270.5;11,792;0;115;4,001;12,806.25;9,251.25;2,037;18;1,236.5
Sep 2, 2022;2:00 AM;3:00 AM;4,186;1,227.25;1,948.75;11,456.25;0;115.25;4,007.25;12,656.75;9,227;1,977.75;2.25;1,232.25
Sep 2, 2022;3:00 AM;4:00 AM;4,187;1,219;1,536.5;10,584.75;0;116;4,011.75;12,731.5;9,251.25;1,992.5;75;1,237.5
Sep 2, 2022;4:00 AM;5:00 AM;4,194;1,188.25;1,272.75;9,868.25;0;116;4,013.75;12,888;9,231;2,093.25;153.5;1,250.25
Sep 2, 2022;5:00 AM;6:00 AM;4,271.75;1,195.75;1,160.5;9,382.75;0;116;4,014.75;13,092;9,449.75;3,022.75;354.75;1,247.25
Sep 2, 2022;6:00 AM;7:00 AM;4,475.25;1,350;1,106.25;9,360;125.25;116;4,021.75;13,100.5;10,010.25;4,161.25;1,685.75;1,253
Sep 2, 2022;7:00 AM;8:00 AM;4,619;1,420;1,278.25;8,770.25;3,050.5;116;4,028.75;13,085.75;10,340.5;4,415.25;3,685.75;1,265
Sep 2, 2022;8:00 AM;9:00 AM;4,668.5;1,441.5;1,432.75;6,012;10,601.5;115.25;4,033.5;12,981.25;10,369.25;4,354.75;3,376.75;1,276
Sep 2, 2022;9:00 AM;10:00 AM;4,587.25;1,324.75;1,811.75;3,611.75;19,710;114.25;4,026.5;12,941.5;9,966;4,199;2,201.5;1,279
Sep 2, 2022;10:00 AM;11:00 AM;4,413.25;1,216.25;2,196.25;4,620.5;27,649.25;114.25;4,024.25;12,824.25;9,594.5;3,473.25;688.75;1,289.5
Sep 2, 2022;11:00 AM;12:00 PM;4,245;1,192.75;2,543;7,477.75;32,813.5;113;4,016.25;12,491.5;8,973.25;1,900.75;60.25;1,305
Sep 2, 2022;12:00 PM;1:00 PM;4,186.25;1,317.5;3,139;9,090.25;33,898.25;112;3,993.25;12,269.75;7,538.5;1,864.25;56.5;1,285.25
Sep 2, 2022;1:00 PM;2:00 PM;4,178.25;1,270.5;3,336.5;8,591.5;32,658.5;112;3,992.75;12,252.25;6,763.25;1,808.75;72.25;1,286.25
Sep 2, 2022;2:00 PM;3:00 PM;4,182;1,282;3,365.25;8,520;30,556.75;112;3,991.5;12,167.75;7,175.5;1,806.25;41;1,283.75
