Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2015;00:00;01:00;4.024,25;1.158,25;516,5;8.128;0;133;10.710,5;15.687,25;3.219,75;1.226,25;1.525,75;4.909,25
01.01.2015;01:00;02:00;3.982,75;1.188;516,25;8.297,5;0;122,5;11.086,25;15.321,75;2.351,25;870,75;1.079,25;4.932,75
01.01.2015;02:00;03:00;4.019,5;1.139,25;514;8.540;0;93;11.026,25;14.817,5;2.227;809,5;787;5.041,75
01.01.2015;03:00;04:00;4.040,75;1.122,5;517,75;8.552;0;86,5;11.027,75;14.075;2.339,75;821;287,75;5.084
01.01.2015;04:00;05:00;4.037,75;1.112;519,75;8.643,5;0;86,5;10.962,25;14.115;2.461,5;831,25;346,75;5.070,75
01.01.2015;05:00;06:00;4.028,25;1.107,75;520;8.711,75;0;86,75;10.696;13.474,25;2.217,75;851;765,5;5.096,75
01.01.2015;06:00;07:00;4.013,25;1.111,75;521,5;9.167,25;0;87;10.299,5;12.403,75;2.373,25;868,25;414,5;5.153
01.01.2015;07:00;08:00;4.012,75;1.113,75;520,25;9.811;0;87;10.035,25;12.062,5;2.491;876;582,5;5.161
01.01.2015;08:00;09:00;3.999,75;1.107,5;525,25;9.683;53;87;10.245,75;12.405;2.530,25;888,25;750,5;5.393,5
01.01.2015;09:00;10:00;4.016,25;1.121;527;9.501,75;773,25;85,75;10.060,25;12.798,75;2.386,25;891,5;387;5.884
01.01.2015;10:00;11:00;4.007,75;1.122;525;10.025;2.116,75;82;10.082,25;12.728,5;2.557;888,25;176,25;6.064
01.01.2015;11:00;12:00;4.011,75;1.146,25;527,25;10.862,5;3.364,25;82;9.949;12.451;2.657,75;876,5;884,5;5.914,75
01.01.2015;12:00;13:00;4.014;1.139,75;527,75;11.575,25;4.198,25;82;10.119;12.464,5;2.937,75;874,25;705;5.778,25
01.01.2015;13:00;14:00;4.005,5;1.128;527,75;11.977,25;3.500,5;84,5;10.453,5;12.417,75;2.810,25;883,5;967,25;5.808,75
01.01.2015;14:00;15:00;4.024,25;1.154,75;524,75;11.396;2.278,75;87;10.828,25;12.621,5;2.664;890,25;1.176,25;5.842,5
01.01.2015;15:00;16:00;4.028,75;1.160;524,5;11.326,5;745,5;86;11.069,75;13.387,25;2.485,25;969,25;1.663;6.075,25
01.01.2015;16:00;17:00;4.030,75;1.145,75;524,5;13.058;50;82;11.006,5;14.679;2.668,75;1.085,25;1.227;5.946
01.01.2015;17:00;18:00;4.029,25;1.171,5;524,5;14.911,5;0;82,25;11.057,5;14.964,25;2.808,75;1.193,75;1.597,75;5.464,5
01.01.2015;18:00;19:00;4.027,5;1.168,5;524;16.344;0;86;10.930,25;14.286;2.690,25;1.135,5;1.320;5.604
01.01.2015;19:00;20:00;4.002,75;1.157,75;523,5;17.484,5;0;87,75;10.861,75;13.498;2.490,75;1.123,75;1.535,5;5.866,25
01.01.2015;20:00;21:00;3.991,5;1.168,25;522,25;18.659;0;88;10.343;12.366;2.440;1.209,25;1.162,75;5.861,25
01.01.2015;21:00;22:00;3.990,25;1.186,5;521;19.831,5;0;88;9.840;11.284,75;2.409;1.205,75;838,75;6.090,75
01.01.2015;22:00;23:00;4.000;1.170,25;519,5;20.716;0;88;9.749;10.428,5;2.298,75;1.324,25;2.066,75;6.084,75
01.01.2015;23:00;00:00;4.002;1.162;494;21.589;0;88;9.045,75;9.861,25;2.209,25;1.212,75;1.436,25;5.989,25
02.01.2015;00:00;01:00;3.999,75;1.122;305;22.166,75;0;88;8.164,75;9.035,5;2.225,5;1.172;1.301;5.978
02.01.2015;01:00;02:00;4.003,25;1.129,25;276,5;23.158;0;87,75;7.147,75;9.013,5;2.188,75;1.127,75;893,5;6.370,75
02.01.2015;02:00;03:00;3.997,25;1.124,25;282;23.966;0;87,75;6.675,75;9.018,5;1.974,5;1.123,25;608,5;5.873,75
02.01.2015;03:00;04:00;4.000;1.133,25;324,75;24.708,75;0;87,75;6.466,75;8.765;1.907;1.120,25;203,5;5.858
02.01.2015;04:00;05:00;3.992;1.122,25;335;25.386;0;88;6.304;8.398,25;2.098,75;1.129,75;712,5;6.012,75
02.01.2015;05:00;06:00;3.981,5;1.100,75;388,25;25.783,75;0;88;6.760;8.593;2.406;1.157,5;729,25;6.221,25
02.01.2015;06:00;07:00;3.971,25;1.116,5;498,25;25.857,25;0;93,75;7.442;8.768,25;2.749,5;1.188,25;480,75;6.090,25
02.01.2015;07:00;08:00;4.001,5;1.129;498,25;25.694,5;0;127;8.075,75;8.920,25;3.262;1.253,5;730,25;6.718,25
02.01.2015;08:00;09:00;4.020,75;1.130;480;26.109,75;38;134,5;9.180,25;9.988,25;3.926,75;1.276,75;1.088,5;6.732,75
02.01.2015;09:00;10:00;4.006;1.091,25;367,5;25.566,75;252,5;134;9.809,75;10.969,75;4.143,5;1.284;1.590,25;6.734,5
02.01.2015;10:00;11:00;3.996;1.090;406;25.235,5;666,75;133,5;10.097,75;11.879,25;4.225,75;1.296,25;1.093;6.768
02.01.2015;11:00;12:00;3.979,5;1.109,5;419,5;25.390,75;1.262,5;136;10.232;12.359,25;4.262,25;1.318,5;832,75;6.621,5
02.01.2015;12:00;13:00;4.014,5;1.104,5;414,25;25.227,75;1.726;136;10.237,5;12.621,5;4.282;1.304,75;1.163;6.426,75
02.01.2015;13:00;14:00;4.009,5;1.098;431;25.363,25;1.899,25;135,25;10.263,25;11.892;4.082;1.288,5;1.073,5;6.045
02.01.2015;14:00;15:00;4.020;1.114,75;485,75;24.811,5;1.352,25;131;10.187,25;11.758;3.859,5;1.294;1.346,75;6.210,5
02.01.2015;15:00;16:00;4.016;1.114,5;489,25;24.493;516,25;131;10.207,25;12.669;3.979,25;1.307,5;1.199,5;6.398
02.01.2015;16:00;17:00;4.031;1.128;493,5;24.225,5;45,5;133;10.440,25;13.225,75;4.241,5;1.298,5;1.687,75;6.098
02.01.2015;17:00;18:00;4.034;1.139,75;492;23.809,5;0;135,5;10.633,25;13.646;4.383,75;1.347,75;1.617,75;6.252,75
02.01.2015;18:00;19:00;4.034,75;1.154,5;475,25;24.535;0;136,25;10.714,5;13.447;4.278,25;1.336;1.751,25;6.064,25
02.01.2015;19:00;20:00;4.033,25;1.166,5;501,75;24.281;0;136;10.702,5;12.952,75;4.051,25;1.322,25;1.816;6.105,5
02.01.2015;20:00;21:00;4.028,5;1.159;511,5;23.767;0;136;10.540,25;10.894,5;3.772,25;1.302,75;1.027,25;6.128,25
02.01.2015;21:00;22:00;4.037;1.147;476,25;23.890;0;136;10.024;9.932;3.831,25;1.271,75;591,25;5.939
02.01.2015;22:00;23:00;4.024,75;1.170,5;502,25;24.043;0;136;9.679,5;9.685;3.910,25;1.207,5;1.008,25;5.824,75
02.01.2015;23:00;00:00;4.015,25;1.192,75;475,5;24.150,5;0;136;8.449,5;8.911,75;3.575,75;1.190,25;978,75;5.289,5
